,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Ahe,490.0,31.0,4.0,15.0,440.0,0.06326530612244897,0.00816326530612245,0.030612244897959183,0.8979591836734694,182.0,490.0
Ahe,490.0,30.0,4.0,12.0,444.0,0.061224489795918366,0.00816326530612245,0.024489795918367346,0.9061224489795918,183.0,490.0
Ahe,490.0,26.0,3.0,11.0,450.0,0.053061224489795916,0.006122448979591836,0.022448979591836733,0.9183673469387755,184.0,490.0
Ahe,490.0,25.0,4.0,12.0,449.0,0.05102040816326531,0.00816326530612245,0.024489795918367346,0.9163265306122449,185.0,490.0
Ahe,490.0,24.0,4.0,11.0,451.0,0.04897959183673469,0.00816326530612245,0.022448979591836733,0.9204081632653062,186.0,490.0
Ahe,490.0,25.0,3.0,13.0,449.0,0.05102040816326531,0.006122448979591836,0.026530612244897958,0.9163265306122449,187.0,490.0
Ahe,490.0,28.0,4.0,10.0,448.0,0.05714285714285714,0.00816326530612245,0.02040816326530612,0.9142857142857143,188.0,490.0
Ahe,490.0,30.0,3.0,12.0,445.0,0.061224489795918366,0.006122448979591836,0.024489795918367346,0.9081632653061225,189.0,490.0
Ahe,490.0,32.0,1.0,13.0,444.0,0.0653061224489796,0.0020408163265306124,0.026530612244897958,0.9061224489795918,190.0,490.0
Ahe,490.0,27.0,0.0,9.0,454.0,0.05510204081632653,0.0,0.018367346938775512,0.926530612244898,191.0,490.0
Ahe,490.0,26.0,0.0,8.0,456.0,0.053061224489795916,0.0,0.0163265306122449,0.9306122448979591,192.0,490.0
Ahe,490.0,27.0,0.0,8.0,455.0,0.05510204081632653,0.0,0.0163265306122449,0.9285714285714286,193.0,490.0
Ahe,490.0,26.0,0.0,7.0,457.0,0.053061224489795916,0.0,0.014285714285714285,0.9326530612244898,194.0,490.0
Ahe,490.0,28.0,0.0,8.0,454.0,0.05714285714285714,0.0,0.0163265306122449,0.926530612244898,195.0,490.0
Ahe,490.0,27.0,0.0,8.0,455.0,0.05510204081632653,0.0,0.0163265306122449,0.9285714285714286,196.0,490.0
Ahe,490.0,26.0,1.0,6.0,457.0,0.053061224489795916,0.0020408163265306124,0.012244897959183673,0.9326530612244898,197.0,490.0
Ahe,490.0,23.0,2.0,5.0,460.0,0.04693877551020408,0.004081632653061225,0.01020408163265306,0.9387755102040817,198.0,490.0
Ahe,490.0,28.0,2.0,7.0,453.0,0.05714285714285714,0.004081632653061225,0.014285714285714285,0.9244897959183673,199.0,490.0
Ahe,490.0,28.0,1.0,7.0,454.0,0.05714285714285714,0.0020408163265306124,0.014285714285714285,0.926530612244898,200.0,490.0
Ahe,490.0,28.0,0.0,5.0,457.0,0.05714285714285714,0.0,0.01020408163265306,0.9326530612244898,201.0,490.0
